subjID,SPM_image,SPM_file_t,SPM_file_c,FS_image,FS_file_lh,FS_file_rh,LH_SN_spcorr,RH_SN_spcorr,LH_SN_volume,RH_SN_volume,LH_SN_ES,RH_SN_ES,Lateralization_volume,Lateralization_ES,Lateralization
sub634,SPM_images/sub634.png,SPM_files/sub634_spmT.nii,SPM_files/sub634_con.nii,FS_images/sub634.png,FS_files/sub634/lh_sig.nii.gz,FS_files/sub634/rh_sig.nii.gz,0.952333,0.4675585,2563,411,1.395167167,0.532775,0.723604573,0.862392167,left-lat
sub635,SPM_images/sub635.png,SPM_files/sub635_spmT.nii,SPM_files/sub635_con.nii,FS_images/sub635.png,FS_files/sub635/lh_sig.nii.gz,FS_files/sub635/rh_sig.nii.gz,1.099200167,0.726324167,1358,45,1.972120667,0.022442,0.935851746,1.949678667,left-lat
sub636,SPM_images/sub636.png,SPM_files/sub636_spmT.nii,SPM_files/sub636_con.nii,FS_images/sub636.png,FS_files/sub636/lh_sig.nii.gz,FS_files/sub636/rh_sig.nii.gz,1.272951167,0.683992833,3180,1335,2.005362833,0.8541255,0.408637874,1.151237333,left-lat
sub637,SPM_images/sub637.png,SPM_files/sub637_spmT.nii,SPM_files/sub637_con.nii,FS_images/sub637.png,FS_files/sub637/lh_sig.nii.gz,FS_files/sub637/rh_sig.nii.gz,1.078669667,1.034220667,1548,370,1.1368105,0.565986833,0.614181439,0.570823667,left-lat
sub638,SPM_images/sub638.png,SPM_files/sub638_spmT.nii,SPM_files/sub638_con.nii,FS_images/sub638.png,FS_files/sub638/lh_sig.nii.gz,FS_files/sub638/rh_sig.nii.gz,0.362153667,0.1538405,186,223,0.357047833,0.175032,-0.090464548,0.182015833,bi-lat
sub640,SPM_images/sub640.png,SPM_files/sub640_spmT.nii,SPM_files/sub640_con.nii,FS_images/sub640.png,FS_files/sub640/lh_sig.nii.gz,FS_files/sub640/rh_sig.nii.gz,0.458379333,0.073747667,1356,211,1.195434667,0.3511895,0.730695597,0.844245167,left-lat
sub641,SPM_images/sub641.png,SPM_files/sub641_spmT.nii,SPM_files/sub641_con.nii,FS_images/sub641.png,FS_files/sub641/lh_sig.nii.gz,FS_files/sub641/rh_sig.nii.gz,0.790568833,0.458784833,2920,1621,1.738155833,1.127617,0.286060339,0.610538833,left-lat
sub642,SPM_images/sub642.png,SPM_files/sub642_spmT.nii,SPM_files/sub642_con.nii,FS_images/sub642.png,FS_files/sub642/lh_sig.nii.gz,FS_files/sub642/rh_sig.nii.gz,1.120986333,0.543181667,2431,298,1.532591667,0.034495833,0.781604984,1.498095833,left-lat
sub643,SPM_images/sub643.png,SPM_files/sub643_spmT.nii,SPM_files/sub643_con.nii,FS_images/sub643.png,FS_files/sub643/lh_sig.nii.gz,FS_files/sub643/rh_sig.nii.gz,0.936315833,0.658584167,1072,125,1.104690167,0.131358167,0.791144528,0.973332,left-lat
sub645,SPM_images/sub645.png,SPM_files/sub645_spmT.nii,SPM_files/sub645_con.nii,FS_images/sub645.png,FS_files/sub645/lh_sig.nii.gz,FS_files/sub645/rh_sig.nii.gz,0.8244225,0.410988,1904,333,1.227625,0.191806833,0.702279839,1.035818167,left-lat
sub647,SPM_images/sub647.png,SPM_files/sub647_spmT.nii,SPM_files/sub647_con.nii,FS_images/sub647.png,FS_files/sub647/lh_sig.nii.gz,FS_files/sub647/rh_sig.nii.gz,1.593900333,0.9110525,3846,1600,2.504839833,0.793442833,0.41241278,1.711397,left-lat
sub648,SPM_images/sub648.png,SPM_files/sub648_spmT.nii,SPM_files/sub648_con.nii,FS_images/sub648.png,FS_files/sub648/lh_sig.nii.gz,FS_files/sub648/rh_sig.nii.gz,0.9138735,0.201343833,1927,365,1.320219167,0.221651333,0.681500873,1.098567833,left-lat
sub649,SPM_images/sub649.png,SPM_files/sub649_spmT.nii,SPM_files/sub649_con.nii,FS_images/sub649.png,FS_files/sub649/lh_sig.nii.gz,FS_files/sub649/rh_sig.nii.gz,0.707085333,0.127459,1689,568,1.064378333,0.219672167,0.496677005,0.844706167,left-lat
sub654,SPM_images/sub654.png,SPM_files/sub654_spmT.nii,SPM_files/sub654_con.nii,FS_images/sub654.png,FS_files/sub654/lh_sig.nii.gz,FS_files/sub654/rh_sig.nii.gz,1.600721833,1.148807333,3662,2769,2.983854667,1.564406667,0.138858653,1.419448,left-lat
sub655,SPM_images/sub655.png,SPM_files/sub655_spmT.nii,SPM_files/sub655_con.nii,FS_images/sub655.png,FS_files/sub655/lh_sig.nii.gz,FS_files/sub655/rh_sig.nii.gz,0.440535833,0.185758833,887,75,0.7103805,-0.141811,0.844074844,0.8521915,left-lat
sub656,SPM_images/sub656.png,SPM_files/sub656_spmT.nii,SPM_files/sub656_con.nii,FS_images/sub656.png,FS_files/sub656/lh_sig.nii.gz,FS_files/sub656/rh_sig.nii.gz,1.106641167,0.539261333,2846,926,2.217599667,0.905564333,0.509013786,1.312035333,left-lat
sub657,SPM_images/sub657.png,SPM_files/sub657_spmT.nii,SPM_files/sub657_con.nii,FS_images/sub657.png,FS_files/sub657/lh_sig.nii.gz,FS_files/sub657/rh_sig.nii.gz,1.049809,0.632933167,1950,639,1.312938667,0.499670667,0.506373117,0.813268,left-lat
sub658,SPM_images/sub658.png,SPM_files/sub658_spmT.nii,SPM_files/sub658_con.nii,FS_images/sub658.png,FS_files/sub658/lh_sig.nii.gz,FS_files/sub658/rh_sig.nii.gz,1.230577833,0.844102667,3511,4353,1.937880167,1.701450167,-0.107070193,0.23643,left-lat
sub659,SPM_images/sub659.png,SPM_files/sub659_spmT.nii,SPM_files/sub659_con.nii,FS_images/sub659.png,FS_files/sub659/lh_sig.nii.gz,FS_files/sub659/rh_sig.nii.gz,0.983720333,0.353089833,3018,1818,2.0238775,1.071527,0.248138958,0.9523505,left-lat
sub660,SPM_images/sub660.png,SPM_files/sub660_spmT.nii,SPM_files/sub660_con.nii,FS_images/sub660.png,FS_files/sub660/lh_sig.nii.gz,FS_files/sub660/rh_sig.nii.gz,0.771659,0.239936333,1438,304,0.798518667,0.202355167,0.65097589,0.5961635,left-lat
sub661,SPM_images/sub661.png,SPM_files/sub661_spmT.nii,SPM_files/sub661_con.nii,FS_images/sub661.png,FS_files/sub661/lh_sig.nii.gz,FS_files/sub661/rh_sig.nii.gz,0.551866833,0.449265833,268,279,0.473950167,0.264322,-0.020109689,0.209628167,left-lat
sub662,SPM_images/sub662.png,SPM_files/sub662_spmT.nii,SPM_files/sub662_con.nii,FS_images/sub662.png,FS_files/sub662/lh_sig.nii.gz,FS_files/sub662/rh_sig.nii.gz,0.9766935,0.522145833,573,7,0.8968895,0.064176,0.975862069,0.8327135,left-lat
